name,nationality,club,position,age,image_url
Erling Haaland,Norway,Manchester City,ST,24,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Erling_Haaland_2023_%28cropped%29.jpg/640px-Erling_Haaland_2023_%28cropped%29.jpg
Luka Modric,Croatia,Real Madrid,CM,39,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Luka_Modri%C4%87_2018.jpg/640px-Luka_Modri%C4%87_2018.jpg
